anglais;francais;actif
Pokémon Fangame;fangame Pokémon;oui
Pokemon Fangame;fangame Pokémon;oui
Pokémon Center;Centre Pokémon;oui
Pokemon Center;Centre Pokémon;oui
Pokémon League;Ligue Pokémon;oui
Pokemon League;Ligue Pokémon;oui
Gym Leader;Champion d'Arène;oui
Elite Four;Conseil 4;oui
Non-Profit use;usage non commercial;oui
Poké Ball;Poké Ball;oui
Poke Ball;Poké Ball;oui
Everdusk Co.;Everdusk Co.;oui
Fakemon;Fakemon;oui
Discord;Discord;oui
Pokemon;Pokémon;oui
Pokémon;Pokémon;oui
Gym;Arène;oui
OST;OST;oui
Tech Demo;Démo technique;oui
Technical Demo;Démo technique;oui
What are your thoughts?;Qu’en pensez-vous ?;oui
Please keep in mind;N’oubliez pas que;oui
Good afternoon;Bonjour;oui
Poké Mart;Poké Mart;oui
